id,artist,album,title,key,time_signature,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,num_played,rate
spotify:track:2PLi7OmleXPNBrGLon3sUy,The Temper Trap,Conditions,Sweet Disposition,2,4,0.542,0.813,-6.89,0.0429,0.0765,0.252,0.116,0.305,129.09,234360.0,1,8.0000
spotify:track:0CWIrDQJ9A6vvyhwAzLDeF,The Temper Trap,Conditions,Love Lost,7,4,0.551,0.579,-7.353,0.0362,0.0235,0.766,0.108,0.343,122.551,216067.0,2,8.0000
spotify:track:0NtGSJX4We9o957Bt9RLXn,The Temper Trap,Conditions,Fader,11,4,0.534,0.763,-7.011,0.0339,7.66e-05,0.631,0.0842,0.2,134.982,192240.0,1,7.0000
spotify:track:4mOGfe5AempxVX2Vt5aAdc,The Temper Trap,Conditions,Soldier On,11,4,0.239,0.444,-7.215,0.0307,0.45,0.172,0.114,0.0648,80.561,358680.0,1,9.0000
spotify:track:4juzduULFJiZVIcrC1tkxE,Bloc Party,Silent Alarm,Banquet,10,4,0.575,0.936,-4.913,0.0512,0.000128,0.0146,0.0828,0.879,150.234,201360.0,1,6.0000
spotify:track:5OVHnu9SgsdAravy4UyGq4,Bloc Party,Silent Alarm,Helicopter,11,4,0.47,0.954,-3.631,0.134,0.000159,0.0043,0.405,0.412,170.1,220173.0,1,4.0000
spotify:track:7ubSLOToyZfVMKVS3axjj2,Evermore,Real Life,Light Surrounding You,3,4,0.389,0.695,-4.978,0.0294,0.0649,0.0,0.342,0.162,164.03,230866.0,1,4.0000
spotify:track:2V5ilMk823pAExv2kCFqdK,Evermore,Real Life,Running,6,4,0.4,0.825,-3.534,0.0351,0.000967,0.00623,0.0482,0.223,140.019,263560.0,1,5.0000
spotify:track:6UikBXYoZptSGwrS39bT7O,Evermore,Dreams,It's Too Late,8,4,0.539,0.714,-4.925,0.0278,0.0489,0.000594,0.17,0.592,139.055,235333.0,1,5.0000
spotify:track:73VaFC7HPQN8MMa20zyzQv,Evermore,Truth Of The World: Welcome To The Show,Hey Boys and Girls (Truth of the World Pt. 2),4,4,0.654,0.877,-3.921,0.0327,0.00531,0.000281,0.0734,0.76,128.058,348387.0,1,4.0000
spotify:track:4xIUZpncAMJvSPXmLLLuLE,"Evermore, Dirty South",Dirty South EP,It's Too Late - Dirty South Radio Edit,8,4,0.648,0.69,-8.888,0.0386,0.0016,0.00432,0.126,0.441,130.009,181223.0,1,2.0000
spotify:track:6BcKdx9uHSAu3r0WFdesNj,Evermore,Real Life,Never Let You Go,3,4,0.229,0.768,-4.015,0.0346,0.017,2.28e-06,0.197,0.132,110.283,254346.0,1,4.0000
spotify:track:75JFxkI2RXiU7L9VXzMkle,Coldplay,A Rush of Blood to the Head,The Scientist,5,4,0.557,0.442,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600.0,1,7.0000
spotify:track:6RUKPb4LETWmmr3iAEQktW,"Coldplay, The Chainsmokers",Memories...Do Not Open,Something Just Like This,11,4,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160.0,1,7.0000
spotify:track:4BDqKiCRaA7TRn4Zxf3IzU,Ben Howard,Keep Your Head Up,Keep Your Head Up,7,4,0.499,0.604,-8.379,0.034,0.457,1.08e-05,0.111,0.406,79.417,261561.0,1,6.0000
spotify:track:0Kvx22z9wGHn0y2ZiWW9Ft,Ben Howard,Every Kingdom,Gracious,11,4,0.397,0.251,-15.434,0.0318,0.848,0.00138,0.0903,0.193,157.547,297173.0,1,7.0000
spotify:track:6XtSexCAovZhEgP6AcmTlL,Ben Howard,Every Kingdom (Deluxe Edition),The Fear,11,4,0.6,0.547,-9.653,0.0313,0.421,0.0104,0.113,0.444,125.909,260342.0,1,7.0000
spotify:track:3fHExFZnmvc511gxjaEops,Ben Howard,Every Kingdom (Deluxe Edition),These Waters,10,4,0.42,0.45,-9.934,0.0306,0.275,0.000335,0.113,0.318,145.45,248000.0,1,6.0000
spotify:track:4PFhGZLzpWQk7CumiCyNH7,Ben Howard,Every Kingdom (Deluxe Version),I Will Be Blessed,0,4,0.445,0.361,-13.183,0.0271,0.718,0.0289,0.393,0.272,77.432,331173.0,1,6.0000
spotify:track:1bVlFkO4UyfNYWurqCghT7,Ben Howard,The Old Pine E.P.,Follaton Wood,3,4,0.599,0.418,-14.026,0.028,0.535,0.0108,0.128,0.56,110.936,289074.0,1,5.0000
spotify:track:0SaEmR2rdtfsZawPjMYkWg,Arcade Fire,Everything Now,Put Your Money on Me,7,4,0.604,0.768,-6.484,0.0308,0.541,0.0201,0.752,0.645,123.067,353240.0,1,6.0000
spotify:track:0Al8iBWqtHPbrtJH4UZ6Jt,Arcade Fire,Reflektor,Here Comes the Night Time II,4,3,0.285,0.354,-14.435,0.0342,0.604,0.685,0.211,0.102,152.034,172039.0,1,7.0000
spotify:track:7uMZy0bALAdneerERyr7Ks,Arcade Fire,Reflektor,Reflektor,11,4,0.585,0.717,-8.379,0.0311,0.0561,0.0148,0.366,0.636,111.563,450984.0,1,6.0000
spotify:track:6kLWsF3wKzQB7C9UxOLOj2,Arcade Fire,Reflektor (Deluxe),It's Never Over (Hey Orpheus),7,4,0.608,0.73,-10.3,0.0563,0.0795,0.621,0.128,0.196,105.316,402809.0,1,4.0000
spotify:track:6DJx9OKnfpvebBhwRHUGEL,Arcade Fire,Arcade Fire - EP,Old Flame,2,4,0.339,0.79,-7.611,0.031,0.000626,0.0966,0.236,0.496,133.657,239307.0,1,7.0000
spotify:track:4JR5LGTNNKiT4pQCx6iVrN,Arcade Fire,Arcade Fire - EP,I'm Sleeping in a Submarine,4,4,0.419,0.617,-7.574,0.0305,0.0249,0.189,0.178,0.137,90.005,167187.0,1,4.0000
spotify:track:2eSlBeOIKaT5LvPplw9aPN,Arcade Fire,The Suburbs (Deluxe),Month of May,1,4,0.461,0.994,-5.487,0.115,0.0369,0.0236,0.396,0.513,167.996,230587.0,1,4.0000
spotify:track:2HWXlAYYHRSwAjWq63Ezm1,Arcade Fire,The Suburbs (Deluxe),City with No Children,6,4,0.514,0.685,-4.918,0.0329,0.152,0.528,0.101,0.642,128.204,191600.0,1,7.0000
